KF929958.1	Eukaryota;Chordata;Actinopteri;Notacanthiformes;Halosauridae;Halosauropsis;Halosauropsis macrochir
MG407379.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Clariidae;Clarias;Clarias macrocephalus
GQ482443.1	Eukaryota;Chordata;Aves;Passeriformes;Phylloscopidae;Abrornis;Abrornis proregulus
KX451353.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bison;Bison bison
MH981633.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
KU521446.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
MN200924.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos taurus
MH290071.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Stolothrissa;Stolothrissa tanganicae
JN290958.1	Eukaryota;Arthropoda;Insecta;Diptera;Lonchaeidae;NA;Lonchaeinae sp. BBDCN866-10
KX457637.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
MH981623.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
HM563688.1	Eukaryota;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox flaviae
KF929966.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Heteroconger;Heteroconger hassi
MG272606.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
KU290647.1	Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus
KR030604.1	Eukaryota;Arthropoda;Insecta;Hemiptera;Miridae;Litomiris;Litomiris curtus
MG936621.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
KJ705931.1	Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Cyzicidae;Ozestheria;Ozestheria cf. packardi Q MS-2015
KR234682.1	Eukaryota;Arthropoda;Insecta;Diptera;Sciaridae;NA;Sciaridae sp. BOLD:AAP8787
JX215968.1	Eukaryota;Arthropoda;Insecta;Lepidoptera;Saturniidae;Automerella;Automerella aurora
MG935612.1	Eukaryota;Chordata;Amphibia;Anura;Microhylidae;Microhyla;Microhyla heymonsi
FJ748712.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
KY627695.1	Eukaryota;Chordata;Aves;Passeriformes;Phylloscopidae;Phylloscopus;Phylloscopus borealoides
FJ796495.1	Eukaryota;Arthropoda;Arachnida;Opiliones;Sandokanidae;Gnomulus;Gnomulus dalat
EU408303.1	Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus
MG282984.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Loricariidae;Guyanancistrus;Guyanancistrus megastictus
KJ013062.1	Eukaryota;Chordata;Actinopteri;NA;Siganidae;Siganus;Siganus guttatus
JQ861021.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Ostracion;Ostracion rhinorhynchos
MN200857.1	Eukaryota;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;Bos taurus
AB842708.1	Eukaryota;Chordata;Aves;Piciformes;Picidae;Picoides;Picoides kizuki
MK572248.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Gonialosa;Gonialosa manmina
JF443361.1	Eukaryota;Chordata;Mammalia;Carnivora;Phocidae;Phoca;Phoca groenlandica
JQ060627.1	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Valamugil;Valamugil buchanani
GU089807.1	Eukaryota;Arthropoda;Insecta;Lepidoptera;Gelechiidae;Dichomeris;Dichomeris kimballi
MH120698.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
KY408523.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
MK264470.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Pristigasteridae;Ilisha;Ilisha elongata
KJ553343.1	Eukaryota;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox cisalpinus
KY671121.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
MH553794.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
EF080323.1	Eukaryota;Chordata;Mammalia;Chiroptera;Phyllostomidae;Desmodus;Desmodus rotundus
HM541442.1	Eukaryota;Chordata;Mammalia;Chiroptera;Rhinolophidae;Rhinolophus;Rhinolophus cf. pusillus CMF-2010
MG462805.1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinella;Sardinella gibbosa
DQ107808.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Argyrosomus;Argyrosomus hololepidotus
JX487573.1	Eukaryota;Chordata;Aves;Passeriformes;Thamnophilidae;Willisornis;Willisornis poecilinotus
MG338423.1	Eukaryota;Arthropoda;Insecta;Hymenoptera;Ichneumonidae;Tryphon;Tryphon sp. BIOUG24306-E10
EF201204.1	Eukaryota;Mollusca;Polyplacophora;Chitonida;Lepidochitonidae;Cyanoplax;Cyanoplax keepiana
LR742840.1	Eukaryota;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus
MN516681.1	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
JF442632.1	Eukaryota;Chordata;Mammalia;Chiroptera;Pteropodidae;Rousettus;Rousettus aegyptiacus
HQ960440.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Blicca;Blicca bjoerkna
